user id,Age,Urbain,"Casual, Urbancool, Streetwear","Chic, Smart, Working Girl","Rock, Gothique","Engagée, Made in France",Fatale,"Bohême, Romantique","Vintage, Kawaii",Inconnu,access_brand,mass_brand,premium_brand,hdg_brand,prestige_brand,luxe_brand,bio_brand,access_mode,mass_mode,premium_mode,hdg_mode,prestige_mode,luxe_mode,vintage_mode,eco_responsable_mode,like_price,dislike_price,like_Naturel,dislike_Naturel,like_Synthetique,dislike_Synthetique,like_Ecolabel,dislike_Ecolabel,like_vif,dislike_vif,like_neutre,dislike_neutre,cluster
1864,22.0,1,3,3,0,1,1,1,0,0,1,7,3,4,10,7,5,11,19,9,4,5,9,1,0,40334.782608695656,43700.0,23,5,0,0,0,0,7,0,14,5,3
1865,22.0,0,3,3,0,1,1,2,1,0,1,4,2,0,4,8,1,8,14,11,4,2,7,0,0,40293.75,41791.666666666664,16,12,0,0,0,0,5,2,9,10,3
1866,29.0,1,1,0,0,1,1,0,0,0,0,1,0,1,2,1,0,0,2,2,3,2,1,0,0,39775.0,47900.0,24,4,0,0,0,0,6,1,16,3,1
1867,20.0,0,3,2,1,0,0,2,1,0,0,2,2,1,1,1,0,4,2,0,0,0,2,0,0,40935.71428571428,0.0,28,0,0,0,0,0,7,0,19,0,1
1868,24.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40935.71428571428,0.0,28,0,0,0,0,0,7,0,19,0,1
1869,27.0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,1,0,3,5,0,1,0,0,0,0,36395.833333333336,68175.0,24,4,0,0,0,0,7,0,15,4,1
1870,24.0,0,2,0,0,0,0,0,0,0,0,1,1,2,4,1,0,4,6,8,1,2,0,0,0,33300.0,54680.0,18,10,0,0,0,0,4,3,12,7,1
1871,20.0,0,3,2,0,0,1,0,1,0,1,2,1,3,1,2,2,5,10,7,1,0,0,0,0,20942.85714285714,60928.57142857143,14,14,0,0,0,0,3,4,9,10,1
1872,20.0,0,2,3,1,0,1,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,29031.25,56808.333333333336,16,12,0,0,0,0,5,2,10,9,1
1873,22.0,1,3,3,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43542.857142857145,38328.57142857143,14,14,0,0,0,0,4,3,9,10,1
1874,22.0,0,3,1,0,0,0,0,0,0,0,1,0,3,2,1,0,3,9,8,6,4,4,0,0,39063.15789473684,44888.88888888889,19,9,0,0,0,0,4,3,14,5,3
1875,18.0,1,2,1,2,0,0,0,1,0,0,5,0,1,6,6,0,6,20,5,4,0,8,0,0,45340.0,29925.0,20,8,0,0,0,0,4,3,15,4,1
1876,26.0,0,1,1,2,2,1,1,1,0,0,3,1,0,0,1,0,1,4,4,1,0,1,0,0,38891.666666666664,53200.0,24,4,0,0,0,0,6,1,16,3,1
1877,24.0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35881.818181818184,59466.666666666664,22,6,0,0,0,0,6,1,14,5,1
1878,21.0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,0,0,0,32018.75,52825.0,16,12,0,0,0,0,5,2,10,9,1
1881,19.0,0,2,1,0,0,0,0,1,0,0,3,2,0,1,2,0,2,10,1,1,0,2,0,0,54133.333333333336,31037.5,12,16,0,0,0,0,2,5,9,10,1
1882,31.0,0,0,1,0,0,1,0,0,0,0,1,0,2,5,2,0,5,4,2,0,1,3,0,0,43453.333333333336,38030.769230769234,15,13,0,0,0,0,3,4,11,8,1
1883,24.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29616.666666666668,61310.0,18,10,0,0,0,0,4,3,12,7,1
1884,21.0,1,2,1,0,0,0,1,1,0,0,1,1,0,2,0,1,4,15,7,4,4,8,0,0,29304.761904761905,75828.57142857143,21,7,0,0,0,0,6,1,13,6,1
1885,24.0,0,3,3,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37326.086956521736,57540.0,23,5,0,0,0,0,6,1,16,3,1
1886,24.0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27275.0,46685.71428571428,4,21,0,0,0,0,1,5,3,14,1
1887,21.0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,2,1,0,0,0,0,1,0,0,0,25922.222222222223,67960.0,18,10,0,0,0,0,5,2,11,8,1
1888,46.0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,2,4,2,0,0,0,0,0,44300.0,39066.666666666664,10,18,0,0,0,0,2,5,8,11,1
1889,28.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38828.57142857143,41638.09523809524,7,21,0,0,0,0,2,5,5,14,1
1890,18.0,0,3,3,2,1,1,1,1,0,0,0,0,0,1,2,0,3,3,1,1,1,5,0,0,46570.833333333336,7125.0,24,4,0,0,0,0,7,0,15,4,1
1891,21.0,0,3,1,0,0,0,1,0,0,0,7,2,0,6,8,0,6,12,5,3,2,6,0,0,34404.76190476191,60528.57142857143,21,7,0,0,0,0,5,2,15,4,1
